2022-04-10 15:27:30,739 INFO  - add_to_cart: start func with cart_id=570, product=Coffee(name='Brasil', price=7, acidity=5.09, roast_level='MEDIUM')
2022-04-10 15:27:30,739 INFO  - add_to_cart: exit func with ret=True
2022-04-10 15:27:30,740 INFO  - add_to_cart: start func with cart_id=570, product=Coffee(name='Brasil', price=7, acidity=5.09, roast_level='MEDIUM')
2022-04-10 15:27:30,740 INFO  - add_to_cart: exit func with ret=True
2022-04-10 15:27:30,740 INFO  - add_to_cart: start func with cart_id=570, product=Coffee(name='Brasil', price=7, acidity=5.09, roast_level='MEDIUM')
2022-04-10 15:27:30,740 INFO  - add_to_cart: exit func with ret=True
2022-04-10 15:27:30,740 INFO  - add_to_cart: start func with cart_id=570, product=Coffee(name='Brasil', price=7, acidity=5.09, roast_level='MEDIUM')
2022-04-10 15:27:30,740 INFO  - add_to_cart: exit func with ret=True
2022-04-10 15:27:30,741 INFO  - add_to_cart: start func with cart_id=570, product=Coffee(name='Brasil', price=7, acidity=5.09, roast_level='MEDIUM')
2022-04-10 15:27:30,741 INFO  - add_to_cart: exit func with ret=True
2022-04-10 15:27:30,741 INFO  - add_to_cart: start func with cart_id=570, product=Tea(name='English Breakfast', price=2, type='Black')
2022-04-10 15:27:30,741 INFO  - add_to_cart: exit func with ret=True
2022-04-10 15:27:30,741 INFO  - add_to_cart: start func with cart_id=570, product=Tea(name='English Breakfast', price=2, type='Black')
2022-04-10 15:27:30,741 INFO  - add_to_cart: exit func with ret=True
2022-04-10 15:27:30,742 INFO  - add_to_cart: start func with cart_id=570, product=Tea(name='English Breakfast', price=2, type='Black')
2022-04-10 15:27:30,742 INFO  - add_to_cart: exit func with ret=True
2022-04-10 15:27:30,742 INFO  - remove_from_cart: start func with cart_id=570, product=Tea(name='Vietnam Oolong', price=10, type='Oolong')
2022-04-10 15:27:30,742 INFO  - remove_from_cart: exit func
2022-04-10 15:27:30,742 INFO  - place_order: start func with cart_id=570 and returned
2022-04-10 15:27:30,743 INFO  - new_cart: start func
2022-04-10 15:27:30,743 INFO  - new_cart: exit func with id=571
2022-04-10 15:27:30,743 INFO  - add_to_cart: start func with cart_id=571, product=Tea(name='Jasmine', price=6, type='Green')
2022-04-10 15:27:30,743 INFO  - add_to_cart: exit func with ret=True
2022-04-10 15:27:30,743 INFO  - add_to_cart: start func with cart_id=571, product=Tea(name='Jasmine', price=6, type='Green')
2022-04-10 15:27:30,743 INFO  - add_to_cart: exit func with ret=True
2022-04-10 15:27:30,744 INFO  - new_cart: start func
2022-04-10 15:27:30,744 INFO  - new_cart: exit func with id=572
2022-04-10 15:27:30,744 INFO  - add_to_cart: start func with cart_id=572, product=Coffee(name='Arabica', price=9, acidity=5.02, roast_level='MEDIUM')
2022-04-10 15:27:30,744 INFO  - add_to_cart: exit func with ret=True
2022-04-10 15:27:30,745 INFO  - add_to_cart: start func with cart_id=572, product=Coffee(name='Arabica', price=9, acidity=5.02, roast_level='MEDIUM')
2022-04-10 15:27:30,745 INFO  - add_to_cart: exit func with ret=True
2022-04-10 15:27:30,745 INFO  - publish: start func with producer_id=26, product=Coffee(name='Ethiopia', price=10, acidity=5.09, roast_level='MEDIUM')
2022-04-10 15:27:30,745 INFO  - remove_from_cart: start func with cart_id=572, product=Coffee(name='Arabica', price=9, acidity=5.02, roast_level='MEDIUM')
2022-04-10 15:27:30,745 INFO  - publish: exit func ret=False
2022-04-10 15:27:30,745 INFO  - remove_from_cart: exit func
2022-04-10 15:27:30,746 INFO  - place_order: start func with cart_id=572 and returned
2022-04-10 15:27:30,746 INFO  - new_cart: start func
2022-04-10 15:27:30,746 INFO  - new_cart: exit func with id=573
2022-04-10 15:27:30,746 INFO  - add_to_cart: start func with cart_id=573, product=Tea(name='Pai Mu Tan', price=9, type='White')
2022-04-10 15:27:30,746 INFO  - add_to_cart: exit func with ret=True
2022-04-10 15:27:30,747 INFO  - add_to_cart: start func with cart_id=573, product=Tea(name='Pai Mu Tan', price=9, type='White')
2022-04-10 15:27:30,747 INFO  - add_to_cart: exit func with ret=True
2022-04-10 15:27:30,747 INFO  - add_to_cart: start func with cart_id=573, product=Coffee(name='Ethiopia', price=10, acidity=5.09, roast_level='MEDIUM')
2022-04-10 15:27:30,747 INFO  - add_to_cart: exit func with ret=True
2022-04-10 15:27:30,747 INFO  - add_to_cart: start func with cart_id=573, product=Coffee(name='Ethiopia', price=10, acidity=5.09, roast_level='MEDIUM')
2022-04-10 15:27:30,748 INFO  - add_to_cart: exit func with ret=True
2022-04-10 15:27:30,748 INFO  - add_to_cart: start func with cart_id=573, product=Tea(name='Vietnam Oolong', price=10, type='Oolong')
2022-04-10 15:27:30,748 INFO  - add_to_cart: exit func with ret=True
2022-04-10 15:27:30,748 INFO  - add_to_cart: start func with cart_id=573, product=Tea(name='Vietnam Oolong', price=10, type='Oolong')
2022-04-10 15:27:30,749 INFO  - add_to_cart: exit func with ret=True
2022-04-10 15:27:30,749 INFO  - add_to_cart: start func with cart_id=573, product=Tea(name='Vietnam Oolong', price=10, type='Oolong')
2022-04-10 15:27:30,749 INFO  - add_to_cart: exit func with ret=True
2022-04-10 15:27:30,750 INFO  - place_order: start func with cart_id=573 and returned
2022-04-10 15:27:30,750 INFO  - new_cart: start func
2022-04-10 15:27:30,750 INFO  - new_cart: exit func with id=574
2022-04-10 15:27:30,751 INFO  - add_to_cart: start func with cart_id=574, product=Tea(name='English Breakfast', price=2, type='Black')
2022-04-10 15:27:30,751 INFO  - add_to_cart: exit func with ret=True
